id,user,fecha,tweet,pais,miedo,ira,expectante,confianza,sorpresa,tristeza,repulsion,alegria,positivo,negativo,emociones,polaridad,palabra,emocion,puntuacion
15468,Regina,2024-04-08 22:29:49,"No entiendo de qué habla Claudia cuando ofrece continuidad.
El sistema de salud está de la chingada, la inseguridad peor que nunca, la educación no ha mejorado…
¿Cómo que quisiéramos continuar?
Váyanse ALV.",Spain,3,0,0,1,0,1,0,0,1,2,['miedo'],negativo,continuar,miedo,0.594
15469,Vero Islas,2024-04-08 20:06:05,"A millones de mexicanos no les importa la corrupción, la violencia, la inseguridad, la salud y la educación.

Lo único que les importa es recibir sus limosnas y que al país se lleve el carajo.

Punto.",Spain,2,1,0,0,1,1,1,0,1,3,['miedo'],negativo,violencia,miedo,0.812
15795,Luis Carlos Vélez,2024-04-08 13:08:02,"La crisis del agua en Bogotá de hoy es algo que se pudo prevenir. ¿Qué hizo Claudia López? A su legado de inseguridad en la capital y de apoyo a Gustavo Petro, nos dejó sin agua. ¿Así quiere ser presidente?",EEUU,1,0,0,2,0,0,0,0,1,2,['confianza'],negativo,crisis,miedo,0.766
15796,Luis Mi,2024-04-08 12:41:57,"En lo personal este debate me decepcionó mucho, muy enfocadas las candidatas en regalar dinero y más dinero. Mal. ¿A costa de qué? ¿Quitarle dinero a salud? ¿A seguridad? ¿De dónde saldrá ese dinero?

Ahora NINGUNO lo vi molesto e indignado por la situación de inseguridad que",EEUU,2,5,5,5,4,3,1,4,6,5,"['ira', 'expectante', 'confianza']",positivo,dinero,expectante,0.586
15797,Clara Lucía Sandoval,2024-04-08 11:46:57,"Advertimos que a Colombia no le iría bien con Petro como no le fue bien a Bogotá en su alcaldía, pero no creyeron. No puede volver a pasar ahora con  Claudia López, que dejó muy mal a Bogotá. inseguridad alarmante, politiquería disparada, solo entregó lo que le dejaron listo,",EEUU,1,0,0,0,1,1,0,0,0,3,"['miedo', 'sorpresa', 'tristeza']",negativo,mal,miedo,0.833
15799,Isabel Gil Everaert,2024-04-08 03:47:04,Ni UNA mención al desplazamiento interno por violencia e inseguridad.,Spain,2,1,0,0,0,1,0,0,0,2,['miedo'],negativo,violencia,miedo,0.812
15804,René Jiménez,2024-04-07 00:07:42,"Los bogotanos protestan porque la inseguridad se volvió patrimonio y paisaje por años y 
@ClaudiaLopez
 echando veneno y haciendo campaña desde Boston.",Colombia,2,1,0,1,0,0,1,0,0,2,['miedo'],negativo,veneno,miedo,0.804
15805,paulina,2024-04-06 22:01:40,creo que estoy cayendo de nuevo en la inseguridad de no ser lo suficientemente bonita,Colombia,1,0,1,1,0,0,0,1,1,1,"['miedo', 'expectante', 'confianza', 'alegria']",neutro,inseguridad,miedo,0.484
15807,Eduardo Urbano Merino,2024-04-05 22:27:23,"Dice 
@Claudiashein
 que en #Fresnillo #Zacatecas no hay inseguridad, que es un mito. 

¿Cómo la ven?

Para colmo lo dijo frente a 
@RicardoMonrealA
 que ha perdido familiares a manos del crimen y se quedó callado, sin dignidad.

Pinches mafiosos de morena.

Lo buenos es que ",Mexico,1,0,0,1,0,0,1,0,1,2,"['miedo', 'confianza', 'repulsion']",negativo,crimen,miedo,0.719
15808,Mª Jesús Álava Reyes,2024-04-05 17:28:36,"Evita disgustos innecesarios! A veces provocamos disgustos para liberar tensión interna, pero resultan muy contraproducentes, pues hacen sufrir a las personas a las que se lo decimos, y lejos de provocar cambios positivos, producen debilidad, inseguridad y bajo estado de ánimo",Mexico,1,2,2,2,1,1,0,2,3,4,"['ira', 'expectante', 'confianza', 'alegria']",negativo,tensión,ira,0.603
15809,Luna,2024-04-05 16:21:34,la inseguridad te hace mierda la cabeza,Mexico,1,1,0,0,0,0,1,0,0,2,"['miedo', 'ira', 'repulsion']",negativo,mierda,repulsion,0.82
15810,Martín Vizcarra,2024-04-05 13:40:49,"Tenemos muchas urgencias, la inseguridad ciudadana va en aumento, no hay chamba, los hogares tienen menos ingresos, miles de obras paralizadas, etc. Y todos atentos a la declaración de la Presidenta sobre sus joyas y Rolex. Dirá toda la verdad ? o continuará la incertidumbre ?",Mexico,1,0,1,3,0,1,0,1,3,2,['confianza'],positivo,verdad,confianza,0.844
16116,Jude,2024-04-03 19:31:11,"En la militancia con frecuencia siento inseguridad, como una falta de legitimidad, porque me falta base teórica y quiero involucrarme demasiado en la praxis. Pero luego leo las pedanterías que se sueltan por esta nuestra red social favorita y se me pasa un poco, porque",Chile,3,2,1,2,0,0,2,0,1,3,['miedo'],negativo,falta,repulsion,0.734
16117,Sergio Sarmiento,2024-04-03 18:45:44,"El presidente López Obrador acusó al gobernador de Guanajuato, Diego Sinhue, de no ir a las ""mesas diarias de seguridad"" con las Fuerzas Armadas y la Guardia Nacional. Pero AMLO asiste todos los días, y la inseguridad no se ha resuelto en el país.",Chile,2,0,0,3,0,0,0,0,3,1,['confianza'],positivo,Guardia,confianza,0.5
16118,Paula Sofia,2024-04-03 18:27:12,"Fatal lo del hijo de Xôchitl, sí. Pero mucho más grave la inseguridad fuera de control, la corrupción intocada, los ataques a la democracia, las obras faraónicas y el regimen de posverdad de este sexenio y del que se promete continuidad.",Chile,2,1,0,0,0,1,1,0,2,3,['miedo'],negativo,grave,tristeza,0.704
